artist_id,name,country,primary_genre,debut_year,label_id
64,Haldren Holsten,US,Pop,2006,23
65,Brevan Quelsten,Mexico,R&B,2018,16
66,Theron Dressel,Germany,Country,1995,27
67,Ondra Tander,Mexico,Pop,1997,5
68,Calwen Delwyn,UK,Metal,2014,20
69,Wyllow Drelborne,Brazil,Country,2016,10
70,Quelya Halvfield,Mexico,Pop,1994,25
71,Tarwen Morfeld,Canada,Electronic,1999,18
72,Vexon Wexon,Japan,Folk,2018,10
73,Melkor Malvord,Netherlands,Country,1992,22
74,Solveth Selwick,Brazil,Rock,2022,8
75,Quellan Quelfield,US,Hip-Hop,2007,20
76,Theron Crestfeld,Japan,R&B,2013,9
77,Gaelyx Ornfeld,UK,Folk,1990,29
78,Stellan Holsten,UK,Electronic,1989,25
79,Pyrex Ornfeld,Japan,Metal,2016,30
80,Norwyn Bresken,Sweden,Country,1993,16
81,Mordra Quelborn,Sweden,Rock,1998,11
82,Melkor Dressel,India,Metal,1990,15
83,Mariva Stelfeld,UK,Classical,2020,27
84,Tarwen Falven,US,Electronic,2021,12
85,Rylith Dressel,Australia,R&B,1996,30
86,Melkor Calvfeld,US,Folk,2003,23
87,Drelwyn Velwick,South Korea,Classical,1993,8
88,Selvyn Talwick,Japan,R&B,2020,23
89,Zindra Quelfield,Australia,Country,1997,13
90,Trizel Halvord,India,Rock,2005,25
91,Halvyn Solvern,India,Pop,2006,24
92,Quelvin Elwick,India,Hip-Hop,2016,18
93,Mordra Brethwick,Nigeria,Metal,2012,15
94,Ventra Morwick,Brazil,Electronic,2014,2
95,Quelvin Calwick,Sweden,Hip-Hop,2019,2
96,Tarvellyn Morborn,India,Rock,2016,4
97,Zareth Selwick,Brazil,Hip-Hop,1992,16
98,Zella Morfeld,India,Jazz,2022,13
99,Nolveth Morwick,Mexico,Rock,2003,21
100,Stelindra Caldorn,UK,Rock,2016,6
101,Halveth Calvwick,Nigeria,Pop,2006,12
102,Melkor Quelver,South Korea,Classical,1999,6
103,Quelvin Bresken,Japan,Folk,1997,8
104,Holven Stelwick,Sweden,Pop,2017,29
105,Solveth Tander,Japan,Jazz,2007,21
106,Vexon Crestorn,Australia,Classical,2018,4
107,Solvoryn Tarborn,Mexico,R&B,2006,1
108,Brela Norwick,India,Pop,2019,27
109,Halvoryn Crowel,Sweden,Electronic,2004,22
110,Pyrex Wyndorn,Nigeria,Country,1990,19
111,Stelindra Stelborne,France,Classical,1999,7
112,Stelindra Solwick,South Korea,R&B,1998,9
113,Prendal Elwick,Japan,Rock,1997,25
114,Melvyn Drevborne,UK,Classical,1988,9
115,Quellan Calvfeld,Sweden,R&B,2012,27
116,Elsten Quelfield,US,Folk,2008,30
117,Gaelyx Morfeld,Argentina,R&B,2014,4
118,Brethyn Kelborne,Japan,Rock,1994,8
119,Norwyn Wynfeld,France,Metal,2014,19
120,Tarfel Elwick,Mexico,Classical,2005,2
121,Ondrel Delwyn,Australia,Jazz,1994,22
122,Tarindra Solvern,Brazil,R&B,2000,4
123,Savel Strell,US,Jazz,2003,5
124,Ventra Tarborn,Australia,Folk,2001,27
125,Wyllow Morwick,Germany,Hip-Hop,1996,18
126,Solvoryn Holsten,Canada,Pop,2010,26
127,Wynvel Harven,Canada,R&B,1991,5
128,Calvris Norden,Japan,Country,2011,17
129,Forsyn Dreveld,Australia,Folk,1990,24
130,Dreska Tarfeld,US,Country,2013,14
131,Ondrel Tander,Argentina,Rock,2008,20
132,Norwyn Solveld,Netherlands,Jazz,2012,20
133,Quellan Wyndorn,Mexico,Classical,1994,26
134,Morva Xelton,Japan,Electronic,2014,11
135,Kelsin Crestwick,France,Classical,2008,22
136,Haelda Vernwick,UK,Rock,1993,3
137,Halveth Delwyn,South Korea,Pop,2009,22
138,Drelwyn Morvon,India,Pop,2006,20
139,Tarwen Holwick,South Korea,Electronic,1997,22
140,Stellan Wyndwick,India,Metal,2011,4
141,Wyllow Holwick,India,Metal,1989,20
142,Drevna Tander,Netherlands,R&B,2009,12
143,Mynder Norwick,Sweden,Classical,1992,5
144,Mordra Norden,Brazil,Classical,2017,11
145,Trizel Calvwick,Nigeria,Folk,1993,29
146,Solveth Morveld,Sweden,Rock,2005,15
147,Rylith Crowel,Germany,Electronic,2020,4
148,Solvoryn Crestwick,Sweden,Folk,2019,17
149,Zareth Tanver,Mexico,Pop,1988,7
150,Prendal Stelwick,Germany,Jazz,1995,1
151,Sorveth Delwyn,Brazil,Metal,2002,17
152,Haston Bloth,India,Pop,2015,1
153,Narevyn Quelborn,Brazil,Folk,2013,23
154,Calvris Mortyn,US,Jazz,1998,26
155,Queldryn Morborne,Brazil,Rock,2003,14
156,Brethyn Verun,Brazil,R&B,2009,8
157,Starven Trymborn,Sweden,Rock,2021,17
158,Crestyn Kavel,Australia,Rock,1997,9
159,Haelda Xelton,Canada,Country,2017,25
160,Stellan Norwick,Sweden,Folk,2008,28
161,Calwen Wynfeld,Japan,Country,2007,26
162,Melvyn Solveld,South Korea,Rock,2007,15
163,Quelvin Calvfeld,India,R&B,1992,21
164,Halvyn Sornwick,Japan,Folk,1990,15
165,Solindra Soltern,South Korea,Hip-Hop,1991,15
166,Calwen Wyndorn,Sweden,Hip-Hop,1990,8
167,Brethyn Drelborne,Mexico,Hip-Hop,2011,12
168,Savel Drevwick,Sweden,Folk,1991,26
169,Quelvor Crestwick,South Korea,Classical,2006,9
170,Mordra Morfeld,Mexico,Hip-Hop,2010,10
171,Queldryn Morwick,Sweden,Jazz,1996,22
172,Wyllow Velwick,France,Pop,2011,10
173,Torwyn Brennor,Australia,Electronic,1996,5
174,Kaledra Sornfeld,Nigeria,Metal,2021,2
175,Calvorn Morwick,Canada,Hip-Hop,1999,27
176,Theron Morsten,Brazil,Jazz,2003,15
177,Stellan Holwick,South Korea,Electronic,2007,26
178,Calwen Solvern,Nigeria,R&B,2012,17
179,Mordra Tanver,Nigeria,Folk,1996,28
180,Tarfel Stelborn,South Korea,Rock,2021,28
181,Mariva Falwick,Germany,Country,2020,5
182,Pelion Stelwick,Argentina,Jazz,1989,14
183,Norva Calwick,UK,Jazz,2002,1
184,Calveth Morborn,Canada,Pop,2006,30
185,Prinna Halbren,Mexico,Pop,1993,1
186,Trynn Solveld,Netherlands,Folk,2021,14
187,Salix Crestorn,UK,Pop,2003,14
188,Gaelyx Halbren,India,Country,2022,1
189,Theron Selwick,Germany,Classical,1988,20
190,Solvoryn Tavern,Canada,Rock,2021,12
191,Sornyx Sornfeld,Nigeria,Metal,1989,13
192,Norwyn Halvfield,Germany,Pop,2010,26
193,Theron Malvord,Nigeria,Folk,2009,5
194,Velindra Drevwick,India,Hip-Hop,2017,23
195,Kelsin Norden,Netherlands,Country,1990,10
196,Zella Quelborn,France,R&B,2020,13
197,Mariva Morwick,Nigeria,Electronic,2006,12
198,Prinna Crestfeld,Nigeria,Jazz,2015,29
199,Calvris Drevwick,Canada,Country,2019,12
200,Mariva Stelner,UK,Classical,1999,18
201,Brevan Verun,France,R&B,2007,15
202,Norva Delwyn,France,Country,1990,24
203,Salix Holsten,Sweden,Pop,1992,22
204,Caldris Sornfeld,US,Hip-Hop,2016,2
205,Norva Drevborne,France,Classical,1990,20
206,Trineth Stelborn,Japan,Rock,1996,17
207,Pyrex Elwick,US,Hip-Hop,2019,17
208,Selvyn Verun,Nigeria,R&B,2016,7
209,Ondra Tanver,UK,Hip-Hop,1992,15
210,Crestyn Morsten,Sweden,Jazz,1992,18
211,Thylen Stelborn,Netherlands,Hip-Hop,2011,17
212,Zella Stelwick,Australia,Country,1989,12
213,Calvorn Tander,Nigeria,Metal,1996,20
214,Halvyn Bloth,Netherlands,Country,2021,14
215,Nolveth Holwick,France,Rock,2016,15
216,Calyx Brethwick,Sweden,Folk,1999,25
217,Quelya Tanver,India,Rock,2021,5
218,Mordra Stelfeld,Argentina,Electronic,2010,17
219,Stellan Morne,Sweden,Metal,2005,5
220,Starven Solveld,South Korea,Hip-Hop,1997,6
221,Starven Calvfeld,US,Pop,1993,2
222,Jorvyn Morwick,Brazil,Folk,1989,16
223,Kaldra Stonfeld,Australia,Classical,2007,15
224,Solveth Quelver,Brazil,Country,2017,7
225,Mynder Velwick,India,Jazz,2010,13
226,Elvaryn Drevborne,UK,Jazz,2003,15
227,Mariva Tarwin,Canada,Rock,1991,10
228,Pelion Delwyn,India,Hip-Hop,2008,30
229,Brethindra Sornfeld,Japan,Metal,2017,16
230,Bryven Wyndwick,Brazil,Metal,2017,8
231,Halvoryn Holwick,US,R&B,2019,20
232,Prendal Selva,India,Rock,2015,5
233,Haston Drevborne,US,Classical,1991,19
234,Queldryn Tarborn,Germany,Rock,2012,17
235,Creston Drevborne,Canada,Rock,2013,12
236,Stelindra Selwick,Australia,Folk,2020,13
237,Halveth Stonfeld,Canada,Jazz,2018,17
238,Elvaryn Stelwick,France,Folk,2008,6
239,Thylen Quelsten,South Korea,Metal,2022,16
240,Haelda Harven,France,Jazz,1995,14
241,Ondra Vernwick,Germany,Folk,2002,24
242,Welvin Tarwick,South Korea,Folk,2012,5
243,Drevindra Halbren,Australia,Pop,2016,11
244,Morva Harven,Brazil,Metal,2018,28
245,Solindra Kavel,South Korea,Jazz,2018,17
246,Steldra Falwick,Argentina,Metal,2009,18
247,Zindra Tarborn,Australia,R&B,2007,8
248,Brela Elwick,France,Country,2010,18
249,Solindra Drelfeld,Sweden,Metal,2012,29
250,Melkor Brennor,US,R&B,1993,12
